time,agent_id,building_idx,floor,pos_x,pos_y,heading,infection_status,agent_type
0,1,0,0,2.0,13.0,0.0,2,1
0,2,0,0,4.0,13.0,0.0,0,2
0,3,0,0,4.397338661590123,12.866009467376818,0.0,0,2
0,4,0,0,4.778836684617301,12.476006844729035,0.0,0,2
0,5,0,0,1.0,3.283662185463226,0.0,0,0
0,6,0,0,2.880876752701611,3.960170286650366,0.0,0,0
0,7,0,0,5.585479898078184,3.7539022543433047,0.0,0,0
0,8,0,0,7.384037369935073,2.8544999661913866,0.0,0,0
0,9,0,0,7.818177727862635,2.088869738115323,0.0,0,0
0,10,0,0,7.683968333665946,2.1609284709235475,0.0,0,0
0,11,0,0,8.300014690173946,3.004425697988051,0.0,0,0
0,12,0,0,10.295140622999348,3.8438539587324922,0.0,0,0
0,13,0,0,13.030250555239961,3.9074467814501963,0.0,0,0
0,14,0,0,15.185911033542308,3.1367372182078337,0.0,0,0
0,15,0,0,15.975431760235676,2.2403120871411786,0.0,0,0
0,16,0,0,15.868145025002402,2.0423405196766153,0.0,0,0
1,1,0,0,2.0,13.0,0.0,2,1
1,2,0,0,4.199666833293656,12.966313233808126,0.0,0,2
1,3,0,0,4.591040413322679,12.70134130705803,0.0,0,2
1,4,0,0,4.958851077208406,12.195066606621463,0.0,0,2
1,5,0,0,1.0,3.3779777427129805,0.0,0,0
1,6,0,0,2.9533833175509114,3.9832684384425843,0.0,0,0
1,7,0,0,5.640767417394645,3.684546666442807,0.0,0,0
1,8,0,0,7.371274753430599,2.756455846264209,0.0,0,0
1,9,0,0,7.749098866293616,2.0522783978688883,0.0,0,0
1,10,0,0,7.622084013785446,2.2194318198308163,0.0,0,0
1,11,0,0,8.302221070285933,3.104236026865697,0.0,0,0
1,12,0,0,10.359409167404104,3.8932061115093224,0.0,0,0
1,13,0,0,13.097493060601332,3.8609666164623064,0.0,0,0
1,14,0,0,15.194305050535748,3.0371583847908266,0.0,0,0
1,15,0,0,15.917259868348411,2.179186905507332,0.0,0,0
1,16,0,0,15.79689019336216,2.0758671999268703,0.0,0,0
2,1,0,0,2.0,13.0,0.0,2,1
2,2,0,0,4.397338661590123,12.866009467376818,0.0,0,2
2,3,0,0,4.778836684617301,12.476006844729035,0.0,0,2
2,4,0,0,5.1292849467900705,11.864829904811995,0.0,0,2
2,5,0,0,1.0,3.468516671300377,0.0,0,0
2,6,0,0,3.026756243591856,3.9965420970232177,0.0,0,0
2,7,0,0,5.693453560188813,3.6083513145322543,0.0,0,0
2,8,0,0,7.3548347162676295,2.6608451390161654,0.0,0,0
2,9,0,0,7.678647543524028,2.0251563785958364,0.0,0,0
2,10,0,0,7.562394026660677,2.2857343479727996,0.0,0,0
2,11,0,0,8.308171117694016,3.2030048638187503,0.0,0,0
2,12,0,0,10.425528803198098,3.9336336440746376,0.0,0,0
2,13,0,0,13.16299219655856,3.8058839576404506,0.0,0,0
2,14,0,0,15.198964083121878,2.9372082770759183,0.0,0,0
2,15,0,0,15.856795304489983,2.12626301698892,0.0,0,0
2,16,0,0,15.726892874223987,2.1186275096377654,0.0,0,0
3,1,0,0,2.0,13.0,0.0,2,1
3,2,0,0,4.591040413322679,12.70134130705803,0.0,0,2
3,3,0,0,4.958851077208406,12.195066606621463,0.0,0,2
3,4,0,0,5.288435374475382,11.49271314367518,0.0,0,2
3,5,0,0,1.0,3.5543743361791607,0.0,0,0
3,6,0,0,3.100812136721225,3.999858636383415,0.0,0,0
3,7,0,0,5.743406638542116,3.5260775173811054,0.0,0,0
3,8,0,0,7.334758349977264,2.568623155029379,0.0,0,0
3,9,0,0,7.60699985117045,2.0077746745473966,0.0,0,0
3,10,0,0,7.505047566173503,2.3591735824050066,0.0,0,0
3,11,0,0,8.317849960378403,3.299745343277015,0.0,0,0
3,12,0,0,10.49333426572629,3.96473261788661,0.0,0,0
3,13,0,0,13.22658424938305,3.7427491727036695,0.0,0,0
3,14,0,0,15.199876486145605,2.8378855635002815,0.0,0,0
3,15,0,0,15.794189198580696,2.0820692195857067,0.0,0,0
3,16,0,0,15.658328024431839,2.170194201929351,0.0,0,0
4,1,0,0,2.0,13.0,0.0,2,1
4,2,0,0,4.778836684617301,12.476006844729035,0.0,0,2
4,3,0,0,5.1292849467900705,11.864829904811995,0.0,0,2
4,4,0,0,5.434712181799045,11.087073263430021,0.0,0,2
4,5,0,0,1.0,3.6346928759426347,0.0,0,0
4,6,0,0,3.1753658957737554,3.9931849187581925,0.0,0,0
4,7,0,0,5.7905017957737295,3.4385473275743905,0.0,0,0
4,8,0,0,7.31109583501966,2.4807113458833143,0.0,0,0
4,9,0,0,7.534334871150372,2.0003069579647934,0.0,0,0
4,10,0,0,7.450187968609686,2.439015742572771,0.0,0,0
4,11,0,0,8.331233406273025,3.393490866347891,0.0,0,0
4,12,0,0,10.562656076644757,3.9861923022788637,0.0,0,0
4,13,0,0,13.288110272060834,3.672193083553468,0.0,0,0
4,14,0,0,15.197039979074544,2.740182643786244,0.0,0,0
4,15,0,0,15.7295980332807,2.04704708311282,0.0,0,0
4,16,0,0,15.591367020402302,2.230052039457928,0.0,0,0
5,1,0,0,2.0,13.0,0.0,2,1
5,2,0,0,4.958851077208406,12.195066606621463,0.0,0,2
5,3,0,0,5.288435374475382,11.49271314367518,0.0,0,2
5,4,0,0,5.566653819254967,10.657020061279125,0.0,0,2
5,5,0,0,1.0,3.70866977429126,0.0,0,0
5,6,0,0,3.2502311751786648,3.9765876257280235,0.0,0,0
5,7,0,0,5.834621318517258,3.346635317835026,0.0,0,0
5,8,0,0,7.283906315359011,2.397988097315176,0.0,0,0
5,9,0,0,7.4608342280706506,2.0028278438036216,0.0,0,0
5,10,0,0,7.397952354392807,2.5244630720040075,0.0,0,0
5,11,0,0,8.348288003733108,3.4833047587530057,0.0,0,0
5,12,0,0,10.63332096752831,3.9977982791785807,0.0,0,0
5,13,0,0,13.347416481577358,3.594920663309892,0.0,0,0
5,14,0,0,15.190461651699145,2.645075733211295,0.0,0,0
5,15,0,0,15.663183252864808,2.021546537181116,0.0,0,0
5,16,0,0,15.526177229772836,2.2976029424972864,0.0,0,0
6,1,0,0,2.0,13.0,0.0,2,1
6,2,0,0,5.1292849467900705,11.864829904811995,0.0,0,2
6,3,0,0,5.434712181799045,11.087073263430021,0.0,0,2
6,4,0,0,5.6829419696157935,10.212211605003109,0.0,0,2
6,5,0,0,1.0,3.7755658785102497,0.0,0,0
